-0.06188;0.02968;0.12125
-0.06916;0.04128;0.15172
-0.06037;0.02377;0.10791
-0.15864;-0.03079;0.09707
-0.08425;0.00212;0.08848
-0.07454;0.01819;0.11092
-0.17077;-0.06396;0.04285
-0.10044;-0.01156;0.07732
-0.07798;0.03194;0.14187
-0.00277;0.10079;0.20435
-0.12728;-0.02815;0.07097
-0.13830;-0.04173;0.05484
-0.05754;0.01043;0.07839
-0.00399;0.08446;0.17292
-0.06423;0.03460;0.13342
-0.13223;-0.04438;0.04347
-0.10471;0.00574;0.11619
-0.09211;0.00096;0.09402
-0.19452;-0.10198;-0.00945
-0.05195;0.07512;0.20219
-0.13082;0.00581;0.14245
-0.10334;0.00086;0.10506
-0.02333;0.05961;0.14255
-0.12023;-0.00403;0.11217
-0.08437;0.02520;0.13477
-0.10581;-0.02903;0.04774
-0.07874;0.01629;0.11131
-0.10175;-0.01723;0.06729
-0.03802;0.03660;0.11123
-0.11470;-0.03931;0.03607
-0.03898;0.08152;0.20202
-0.15039;-0.06074;0.02892
-0.12822;-0.03063;0.06697
-0.05066;0.05982;0.17030
-0.09600;0.00663;0.10925
-0.14426;-0.05605;0.03216
-0.11572;-0.01616;0.08340
-0.08038;0.00548;0.09135
-0.09604;-0.00435;0.08733
-0.06095;0.03072;0.12238
-0.14473;-0.02902;0.08669
-0.10472;0.00740;0.11951
-0.12831;-0.02001;0.08828
-0.11576;-0.01852;0.07872
-0.13785;-0.03551;0.06683
-0.08987;0.02689;0.14365
-0.08060;0.02680;0.13420
-0.12210;-0.01285;0.09639
-0.15237;-0.01459;0.12319
-0.11237;-0.02566;0.06105
-0.08410;0.02301;0.13013
-0.10560;-0.00482;0.09597
-0.13909;-0.04481;0.04948
-0.11991;-0.01280;0.09432
-0.15975;-0.04305;0.07364
-0.09495;-0.02595;0.04305
-0.09368;0.00522;0.10411
-0.05026;0.04065;0.13156
-0.05823;0.04250;0.14324
-0.15305;-0.05480;0.04346
-0.09085;0.01584;0.12253
-0.10185;-0.02350;0.05484
-0.12603;0.01839;0.16282
-0.06436;0.05097;0.16630
-0.14872;-0.05387;0.04097
0.00796;0.09500;0.18203
-0.14603;-0.04393;0.05816
-0.16530;-0.07294;0.01941
-0.19453;-0.08248;0.02958
-0.07745;0.00714;0.09173
-0.03635;0.08137;0.19908
-0.14817;-0.03068;0.08680
-0.06245;0.02149;0.10544
-0.14170;-0.02171;0.09828
-0.09042;-0.01231;0.06581
-0.13152;-0.01638;0.09875
-0.07826;0.03148;0.14121
-0.13074;-0.00950;0.11175
-0.16883;-0.04259;0.08365
-0.18024;-0.06180;0.05665
-0.09963;-0.00877;0.08209
-0.05620;0.02661;0.10942
-0.15085;0.00538;0.16160
-0.12175;-0.02225;0.07724
-0.03167;0.06667;0.16500
-0.10676;0.00207;0.11090
-0.09476;0.02561;0.14599
-0.14097;-0.04146;0.05805
-0.13561;-0.02626;0.08309
-0.09503;0.01388;0.12278
-0.02806;0.09370;0.21547
-0.17064;-0.07073;0.02919
-0.08161;0.00633;0.09428
-0.10919;0.00790;0.12499
-0.08015;0.00474;0.08963
-0.05766;0.04581;0.14928
-0.07672;0.03959;0.15591
-0.04487;0.05724;0.15934
-0.06362;0.04390;0.15142
-0.02115;0.06730;0.15575
-0.08880;-0.00354;0.08171
-0.11143;0.01963;0.15068
-0.10735;0.00240;0.11215
-0.05611;0.02330;0.10272
-0.07005;0.05619;0.18243
-0.07009;0.02985;0.12979
-0.14840;-0.02136;0.10567
-0.05567;0.06000;0.17566
-0.09538;0.00662;0.10861
-0.11591;-0.00179;0.11233
-0.03016;0.07561;0.18137
-0.09023;0.02638;0.14299
-0.04447;0.03581;0.11610
-0.14315;-0.02736;0.08843
-0.08319;0.04639;0.17596
-0.04577;0.03864;0.12304
-0.08591;0.02501;0.13593
-0.00194;0.07283;0.14760
-0.14829;-0.02201;0.10427
-0.14072;-0.01423;0.11227
-0.11417;-0.01844;0.07728
-0.10286;-0.01056;0.08173
-0.01903;0.05434;0.12772
-0.09321;0.01052;0.11425
-0.12100;-0.03611;0.04877
-0.11076;0.01626;0.14328
-0.04979;0.06483;0.17946
-0.07073;0.00846;0.08764
